finding_id,session,severity,file_line,finding,impact,suggested_fix,safety,decision,fix_session_id,new_def_id,notes
P1-C2-2,P1-C2,MEDIUM,[config/vix_regime.yaml](config/vix_regime.yaml) (all lines) + [config/system_live.yaml:161](config/system_live.yaml#L161),"**Standalone `vix_regime.yaml` never loaded at runtime** (same drift class as Finding #1). Confirmed by [docs/sprint-history.md:2170](docs/sprint-history.md#L2170) — `load_config()` doesn't read it. `system_live.yaml` `vix_regime:` block only contains `enabled: true`; all thresholds come from `VixRegimeConfig` Pydantic defaults. Comment in `system_live.yaml:161` (""Detailed params in vix_regime.yaml"") is misleading.",Operator editing `vix_regime.yaml` expects tuning; changes do nothing.,"Option A: add `vix_regime.yaml` to `load_config()` and merge into `SystemConfig.vix_regime` (same approach as Finding #1). Option B: delete `vix_regime.yaml`, move the commented threshold docs inline into `system_live.yaml`. Option C: update `system_live.yaml:161` comment to note the file is documentation-only.",safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-C2-3,P1-C2,MEDIUM,[argus/core/config.py:319-336](argus/core/config.py#L319-L336),**`UniverseFilterConfig` Sprint 29 fields lack validators.** `min_relative_volume: float \,"None = None`, `min_gap_percent: float \","None = None`, `min_premarket_volume: int \",None = None` have no `ge=0` constraint. Pydantic accepts negative values silently. Also: these three fields are NOT enforced in [`_symbol_matches_filter()` at universe_manager.py:409-482](argus/data/universe_manager.py#L409-L482) — intentional per sprint-history (enforced at strategy detection level). That intent is undocumented in the config model.,fix-now,FIX-06-data-layer,,
P1-C2-4,P1-C2,MEDIUM,[argus/data/intraday_candle_store.py:7-9](argus/data/intraday_candle_store.py#L7-L9),"**Thread-safety docstring overclaims single-threaded access.** Docstring asserts ""All access is single-threaded asyncio — no additional locking needed."" But `get_bars`, `get_latest`, `has_bars`, `bar_count`, `symbols_with_bars` ([lines 90-172](argus/data/intraday_candle_store.py#L90-L172)) are synchronous functions. FastAPI runs sync `def` endpoints in a threadpool by default; if any REST endpoint consumes these synchronously, reads race the asyncio writer thread. In practice GIL + `deque.append` is atomic (safe), but `list(bars)` snapshot under concurrent append can see partial state. No known production issue, but the docstring is incorrect.","Future developer reads the comment, writes a helper that assumes exclusive access, introduces a race.","Update docstring to ""reads are GIL-atomic against append-only writes; no additional locking needed on CPython"". Or wrap reads in an asyncio lock if strict correctness is desired.",safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-5,P1-C2,MEDIUM,[argus/data/historical_query_service.py:6-7](argus/data/historical_query_service.py#L6-L7) + [line 197](argus/data/historical_query_service.py#L197),"**Stale cache-layout docstring.** Documents `{cache_dir}/{SYMBOL}/{YYYY-MM}.parquet` as the ""expected layout""; Sprint 31.85 added the consolidated `{SYMBOL}/{SYMBOL}.parquet` layout, and the `regexp_extract` regex works for both (extracts from grandparent dir in either case). No runtime bug, but misleading.",Future developer may assume monthly layout is still primary or miss that the service supports either.,Update lines 6-7 to document both supported layouts. Line 197 likewise. Cross-reference `docs/operations/parquet-cache-layout.md`.,safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-6,P1-C2,MEDIUM,[argus/data/historical_query_config.py:28](argus/data/historical_query_config.py#L28),"**`HistoricalQueryConfig.cache_dir` default still points at old cache.** `default = ""data/databento_cache""` — if operator ever removes the `historical_query:` block from `system_live.yaml`, the service silently falls back to the old (slow) cache. Related to Finding #1 — even after fixing the yaml drift, the Python default is stale.",Latent regression risk if yaml config drifts or is cleared.,"Change default to `""data/databento_cache_consolidated""` (after Finding #1 is resolved, so default matches runtime).",weekend-only,fix-now,FIX-06-data-layer,,
P1-C2-7,P1-C2,MEDIUM,[argus/data/historical_query_service.py:571-581](argus/data/historical_query_service.py#L571-L581),**`close()` does not `interrupt()` in-flight DDL** — matches DEF-165 description (connection teardown hangs when `CREATE VIEW` is mid-flight; observed during DEF-164 late-night activation incident). Current code path: `self._conn.close()` directly.,Already an open DEF. Reconfirmed by inspection.,Call `self._conn.interrupt()` before `.close()` in a try/except; document that `close()` is idempotent. Tracked by DEF-165.,deferred-to-defs,fix-now,FIX-06-data-layer,,
P1-C2-8,P1-C2,LOW,[argus/data/intraday_candle_store.py:67-70](argus/data/intraday_candle_store.py#L67-L70),"**Naive-timestamp handling treats naive as ET.** `if ts.tzinfo is None: ts_et = ts.replace(tzinfo=ET)`. Production path ([databento_data_service.py:641](argus/data/databento_data_service.py#L641)) always produces UTC-aware timestamps, so naive branch is unreachable in live operation. But replay / test fixtures that feed naive timestamps will be misinterpreted (treated as ET rather than UTC).",Silent time-bucketing bug in any consumer that constructs synthetic `CandleEvent`s without tzinfo.,Either raise on naive timestamps (fail-fast) or document that naive means UTC and `.astimezone(ET)` accordingly.,safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-9,P1-C2,LOW,[argus/data/universe_manager.py:124](argus/data/universe_manager.py#L124),"**Accesses private attribute `self._reference_client._cache.keys()`.** When no `initial_symbols` is passed and cache path has been chosen, the UM reaches into the client's private `_cache`. Violates the `reference_cache` property-based API (already exposed via FMPReferenceClient).",Tight coupling; refactor risk in FMP client.,Expose `known_symbols()` on `FMPReferenceClient` and call that.,safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-10,P1-C2,LOW,[argus/data/alpaca_data_service.py](argus/data/alpaca_data_service.py) + [argus/data/alpaca_scanner.py](argus/data/alpaca_scanner.py),"**Alpaca data/scanner still reachable via `system.yaml:9` (`data_source: ""alpaca""`) and `scanner.yaml` (`scanner_type: ""alpaca""`).** DEC-086 demoted Alpaca to incubator. Live production uses Databento + FMP. Dead-code in effect but not in code-reachability. No clear operator use case remaining for the incubator path.",Maintenance drag; tests still exercise these modules.,"Track retirement as a new DEF. If incubator is truly dead, delete modules, tests, config branches, and simplify `main.py:301-317` / `main.py:339-346` to a single live path.",deferred-to-defs,fix-now,FIX-06-data-layer,,
P1-C2-11,P1-C2,LOW,[argus/data/databento_data_service.py:1200-1214](argus/data/databento_data_service.py#L1200-L1214),"**`fetch_daily_bars()` passes `apikey` in URL params dict.** Error handlers at lines 1251-1256 do not log the URL/params — currently safe (DEF-037 prevention). Latent risk: if an error branch ever logs `response.url` or exception context, FMP API key leaks.",Regression risk.,"Move key to a header (`Authorization`) if FMP permits; otherwise keep, and add a code comment warning future editors not to log response context.",safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-12,P1-C2,LOW,[argus/data/databento_data_service.py:1105-1141](argus/data/databento_data_service.py#L1105-L1141),"**`_check_parquet_cache()` only checks the month of `start` — multi-month queries silently return partial data.** Comment at [line 1122-1123](argus/data/databento_data_service.py#L1122-L1123) acknowledges this: ""Full implementation would merge multiple monthly files.""","For live ops this is typically single-month queries — fine. For tooling or ad-hoc lookups that span months, cache returns a subset and the caller doesn't know.",Either reject multi-month requests (fail-closed) or concat monthly files when start.month != end.month.,safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-13,P1-C2,LOW,[argus/data/databento_data_service.py:113-117](argus/data/databento_data_service.py#L113-L117),**Record-class references typed `type \,"None = None`** at init and populated later in `_connect_live_session()`. Used in `_dispatch_record()` via `isinstance(record, self._OHLCVMsg)` — passing `None` to `isinstance` raises `TypeError`. Callback path is only registered after `start()` fully sets these, so in practice no runtime error, but the code pattern is fragile if the ordering is ever disturbed.",Fragile initialization order.,Lift the `import databento as db` to module top-level (already paid once per process) and assign the class references at construction.,fix-now,FIX-06-data-layer,,
P1-C2-14,P1-C2,LOW,[argus/data/fmp_scanner.py](argus/data/fmp_scanner.py),**`criteria_list` parameter on `scan()` is ignored** — documented by DEF-032.,Known.,Tracked.,deferred-to-defs,fix-now,FIX-06-data-layer,,
P1-C2-15,P1-C2,LOW,"[argus/data/databento_data_service.py:741,743,747,751](argus/data/databento_data_service.py#L741)","**`asyncio.ensure_future()` without explicit loop** used inside `_schedule_*_publish` helpers. Invoked from the asyncio thread (via `call_soon_threadsafe`), so `get_event_loop()` resolves correctly — no bug. Python 3.12+ deprecates loop-less `get_event_loop()` from outside a running loop; here it is inside one. Fine today, at minor future-compat risk.",Potential DeprecationWarning on future Python.,Switch to `self._loop.create_task(...)`.,safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-16,P1-C2,COSMETIC,[argus/data/intraday_candle_store.py:35](argus/data/intraday_candle_store.py#L35),"Magic number `_MAX_BARS_PER_SYMBOL = 720` — adequate inline comment at line 34 (""12 hours of 1-minute bars""). Leave as-is.",None.,None.,read-only-no-fix-needed,fix-now,FIX-06-data-layer,,
P1-C2-17,P1-C2,COSMETIC,[argus/data/historical_query_service.py:201](argus/data/historical_query_service.py#L201),Regex literal `'.*/([^/]+)/[^/]+\\.parquet$'` — should use raw string (`r'...'`) for clarity. Currently works.,Minor readability.,Use raw string.,safe-during-trading,fix-now,FIX-06-data-layer,,
P1-C2-18,P1-C2,COSMETIC,[argus/data/scanner.py](argus/data/scanner.py),Contains `Scanner` ABC (base class) + `StaticScanner` (fallback implementation used in `main.py:350`). LIVE — keep.,None.,None.,read-only-no-fix-needed,fix-now,FIX-06-data-layer,,
P1-C2-19,P1-C2,COSMETIC,[argus/data/databento_utils.py](argus/data/databento_utils.py),"63 lines, `normalize_databento_df()` shared between DatabentoDataService and DataFetcher. Tight, focused, LIVE.",None.,None.,read-only-no-fix-needed,fix-now,FIX-06-data-layer,,
P1-C2-20,P1-C2,COSMETIC,[argus/data/replay_data_service.py](argus/data/replay_data_service.py),"Backtest/replay-only path; used by `scripts/*.py` and tests. LIVE for backtesting, not live trading.",None.,None.,read-only-no-fix-needed,fix-now,FIX-06-data-layer,,
P1-D1-C01,P1-D1,CRITICAL,[main.py:1112-1113](argus/main.py#L1112-L1113) vs [intelligence/startup.py:92-93](argus/intelligence/startup.py#L92-L93),"**Quality engine's `CatalystStorage` is pointed at the wrong database.** Phase 10.25 creates `CatalystStorage(str(Path(config.system.data_dir) / ""argus.db""))` for the quality pipeline's catalyst lookup. The catalyst **pipeline** (classifier + briefing + polling loop) creates a *separate* `CatalystStorage(Path(data_dir) / ""catalyst.db"")` in `intelligence/startup.py:92` — and *that* is where all 12,114 ingested catalysts live. Verified: `sqlite3 data/argus.db 'SELECT COUNT(*) FROM catalyst_events'` → **0**; `sqlite3 data/catalyst.db 'SELECT COUNT(*) FROM catalyst_events'` → **12114**. `CatalystStorage.initialize()` helpfully creates the empty `catalyst_events` table in `argus.db` via `CREATE TABLE IF NOT EXISTS`, masking the misconfiguration at startup.","**`catalyst_quality` dimension is effectively disabled for every signal in live trading.** `quality_engine.py:_score_catalyst_quality()` queries the empty table, finds no recent rows, and returns the `50.0` neutral default for **every** signal. This is the real root cause of DEF-082 (""catalyst_quality always 50.0 — expected when no catalysts""). The pipeline is ingesting catalysts fine; the quality engine is just reading from the wrong file. Any quality-based sizing / filtering decision that should have been lifted by a genuine catalyst is silently degraded. Paper-trading variants are all trained against this corrupt scoring dimension.","In `main.py:1108-1117`, switch to `db_path = Path(config.system.data_dir) / ""catalyst.db""`. Better: reuse the instance that `intelligence/startup.py` already built via `app_state.catalyst_storage` (see `argus/api/server.py:156`) rather than creating a second connection to the same DB file. Add an assertion or migration: detect `argus.db.catalyst_events` with `rowcount > 0` on boot and WARN (it will always be a leftover from this bug).",weekend-only,fix-now,FIX-01-catalyst-db-quality-pipeline,,CRITICAL — auto-approve
P1-D1-C02,P1-D1,CRITICAL,[config/quality_engine.yaml](config/quality_engine.yaml) vs [config/system_live.yaml:119-145](config/system_live.yaml#L119-L145) / [core/config.py:1321-1372](argus/core/config.py#L1321-L1372),"**Sprint 32.9 quality-engine recalibration is not loaded at runtime.** `config/quality_engine.yaml` (pattern=0.375, catalyst=0.25, volume=0.275, historical=0.0, regime=0.10; thresholds 72/66/61/56/51/46/40) exists only for `ConfigProposalManager` validation. Live runtime uses `ArgusConfig.system.quality_engine`, populated from the `quality_engine:` block in `system_live.yaml` — which still has the **pre-recalibration** values (pattern=0.30, catalyst=0.25, volume=0.20, historical=0.15, regime=0.10; thresholds 90/80/70/60/50/40/30). `load_config()` reads only `system.yaml`/`system_live.yaml`, never merges `config/quality_engine.yaml`. CLAUDE.md's ""Sprint 32.9 additions: quality_engine.yaml historical_match weight → 0…"" is therefore misleading — the file was updated but the *running system* still honors the old `system_live.yaml` values.","This is the single largest functional discrepancy surfaced by the audit. Every scoring/grading path in paper-trading since Sprint 32.9 has been running old weights: `historical_match` (a constant-50 stub) contributes 15% of composite, and grade thresholds require 90/80/70/… points for A+/A/A-, which is unreachable under the actual 35–77 observed score range per the recalibration notes. Result: under the *intended* Sprint 32.9 calibration almost every signal would grade A+/A; under the *actual* live config virtually everything grades B because the thresholds are calibrated to the wrong score distribution. **This explains DEF-142 (""grade compression to B"") that Sprint 32.9 was supposed to resolve.**","Option A: copy the eight fields (`weights.*` and `thresholds.*`) from `config/quality_engine.yaml` into the `quality_engine:` block of `config/system_live.yaml` and `config/system.yaml`. Option B: change `load_config()` to also merge `config/quality_engine.yaml` (and `config/overflow.yaml`, `config/counterfactual.yaml`, etc.) with an explicit precedence rule. Option A is the minimum fix; Option B closes the split-source class of bugs. Add a parity test: `assert raw_system[""quality_engine""] == yaml.load(""config/quality_engine.yaml"")`.",weekend-only,fix-now,FIX-01-catalyst-db-quality-pipeline,,CRITICAL — auto-approve
P1-D1-C03,P1-D1,CRITICAL,[config/overflow.yaml](config/overflow.yaml) vs [config/system_live.yaml:177](config/system_live.yaml#L177),"**Overflow `broker_capacity` divergence.** `config/overflow.yaml` has `broker_capacity: 50` (Sprint 32.9 S3 reduction from 60, tracked by `tests/test_overflow_routing.py:472`). `config/system_live.yaml` has `broker_capacity: 30`. Runtime reads `config.system.overflow.broker_capacity`, which is loaded exclusively from `system_live.yaml` per `load_config()` — so the live cap is **30**, not 50. CLAUDE.md claims ""overflow.yaml `broker_capacity: 50`"" and ""overflow broker_capacity 60→50 (Sprint 32.9 S3)"". The tested file is not the live file.","Signals start routing to counterfactual shadow tracking at 30 open positions instead of 50. In a session with >30 simultaneous live positions (the Sprint 32.9 stress case), 20 additional entries that Sprint 32.9 intended to *permit* are being diverted to shadow. All downstream filter-accuracy / promotion-eligibility metrics are skewed. Related: `CLAUDE.md` also says `max_concurrent_positions: 50` in `risk_limits.yaml` — which then has *more* risk headroom than the overflow gate will let the Order Manager consume.","Same fix pattern as C2: either sync the `overflow.broker_capacity` value in `system_live.yaml` (and `system.yaml`) to `50`, or have `load_config()` merge standalone `config/overflow.yaml` over the `system:` overflow block. Add a parity test.",weekend-only,fix-now,FIX-02-config-drift-critical,,CRITICAL — auto-approve
P1-D1-M01,P1-D1,MEDIUM,"[main.py:1113](argus/main.py#L1113), [main.py:2185-2359](argus/main.py#L2185-L2359)","**Quality-pipeline `CatalystStorage` is never closed in shutdown.** Phase 10.25 creates + initializes the connection; shutdown flow closes `_db`, `_eval_store`, `_counterfactual_store`, and the intelligence-pipeline storage (via `shutdown_intelligence()`), but not `self._catalyst_storage`. Related to P1-A1 M3.","Unclosed SQLite connection on teardown; contributes to the Sprint 31.8 S2 VACUUM-incident class. If C1 is fixed by pointing at `catalyst.db`, this still leaks a second handle to the same DB file.","Prefer to reuse `app_state.catalyst_storage` (from `api/server.py`) rather than opening a second connection. If that is not feasible, add `await self._catalyst_storage.close()` to `shutdown()` before the generic DB close.",weekend-only,fix-now,FIX-03-main-py,,
P1-D1-M02,P1-D1,MEDIUM,[main.py:1115-1116](argus/main.py#L1115-L1116),"**CatalystStorage init error masked** — `except Exception: logger.warning(""CatalystStorage not available for quality pipeline"")`, no `exc_info`, no actual exception text. The message is ambiguous (""unavailable"" could mean disk full, DB lock, import error, etc.). Identical pattern already flagged in P1-A1 M7 for the same 2-line block.","During a real catalyst DB outage, operators see a cryptic warning and an all-B quality-grade distribution for the session. Fail-to-open is impossible to distinguish from ""table just empty"".",Add `exc_info=True`. Better: log the actual `db_path` in the warning so operators can spot the C1-class misconfiguration quickly.,weekend-only,fix-now,FIX-03-main-py,,
P1-D1-M03,P1-D1,MEDIUM,[execution/order_manager.py:482-491](argus/execution/order_manager.py#L482-L491),"**`SignalRejectedEvent` from margin circuit breaker tags itself `rejection_stage=""risk_manager""`** but the reason is margin-specific (""Margin circuit breaker open…""). `RejectionStage` enum has no MARGIN_CIRCUIT value, so the filter-accuracy breakdown `by_stage` groups margin rejections together with ordinary risk-manager rejections.","`FilterAccuracy` analyses conflate two different rejection classes. `by_reason` can distinguish them via string match, but `by_stage` (the principal cut used by the Experiments + Learning surfaces) cannot. Masks a potentially material operational signal during margin incidents.","Extend `RejectionStage` with `MARGIN_CIRCUIT = ""margin_circuit""` (and update `counterfactual_positions.rejection_stage` values to accept it). Bump emitted stage in `order_manager.py:485`.",weekend-only,fix-now,FIX-04-execution,,
P1-D1-M04,P1-D1,MEDIUM,[intelligence/sources/fmp_news.py:129-131](argus/intelligence/sources/fmp_news.py#L129-L131),"**FMP ""circuit breaker"" (DEC-323) resets every poll cycle.** The `_disabled_for_cycle` flag is set `False` at the top of `fetch_catalysts()`, so once a 401/403 trips it, the *next* poll clears the flag, re-hits the API, re-logs the error, and re-trips. This is not a persistent circuit — it only suppresses spam *within* a single cycle.","On a Starter-plan 403 storm, every poll cycle produces a fresh ERROR log. Because `system_live.yaml` has `fmp_news.enabled: false` today, this is mostly dormant — but anyone flipping FMP news on without upgrading will get continuous ERROR-level noise, not the one-time-and-silent behaviour DEC-323's ""circuit breaker"" framing suggests.","Change the semantics: keep the flag sticky across cycles, with a backoff of e.g. 1 hour before re-trying. Alternative: move the flag into `start()` and require an explicit manual reset.",weekend-only,fix-now,FIX-06-data-layer,,
P1-D1-M05,P1-D1,MEDIUM,[intelligence/sources/fmp_news.py:115-116](argus/intelligence/sources/fmp_news.py#L115-L116),"**FMP silently returns `[]` in firehose mode** — the polling loop's default is `firehose=True` (see `api/server.py:211`), so whenever the pipeline polls, FMP contributes nothing regardless of the `fmp_news.enabled` flag. The one-line docstring notes this, but there is no info-level log on the first firehose call, and `CatalystPipeline.run_poll()` reports `Source fmp_news returned 0 items` as if it had been consulted normally.","Inscrutable behaviour: an operator who toggles `fmp_news.enabled: true` will see ""0 items"" forever and will not realize FMP needs `firehose=False` to be used at all. Given FMP Starter disables news anyway, this is mostly academic — but directly contradicts the DEC-332 ""firehose mode"" architecture claim that all three sources participate.","If the long-term plan is to replace per-symbol FMP polling with firehose (none exists), log this once per session and treat FMP as implicitly disabled in firehose mode. Alternatively mark FMP out of scope for firehose in the startup factory so `sources` list does not include it when the polling loop is firehose.",weekend-only,fix-now,FIX-06-data-layer,,
P1-D1-M06,P1-D1,MEDIUM,"[main.py:1705](argus/main.py#L1705), [main.py:1772](argus/main.py#L1772), [main.py:1810](argus/main.py#L1810), [main.py:1866](argus/main.py#L1866), [main.py:1882](argus/main.py#L1882)","**Inconsistent `_counterfactual_enabled` access pattern.** Shadow-mode path uses bare `self._counterfactual_enabled`; the other four rejection-emission sites use `getattr(self, '_counterfactual_enabled', False)`. The attribute is always set in Phase 10.7, so this is not an actual bug today — but a future refactor that reorders Phase init could AttributeError from line 1705 while the other sites degrade gracefully.",Low-probability divergence; one of five sites would behave differently than the other four if the attribute ever went missing.,"Pick one convention. Since the attribute is guaranteed present after `__init__`, drop the `getattr` guards and use `self._counterfactual_enabled` everywhere.",safe-during-trading,fix-now,FIX-03-main-py,,
P1-D1-M07,P1-D1,MEDIUM,[core/events.py:211](argus/core/events.py#L211),"**`SignalRejectedEvent.rejection_stage` docstring lists stage values as `""QUALITY_FILTER"", ""POSITION_SIZER"", ""RISK_MANAGER"", ""SHADOW"", ""BROKER_OVERFLOW""` (uppercase)** but the actual `RejectionStage` StrEnum uses lowercase values (`""quality_filter""`, `""position_sizer""`, etc.) and all five emission sites emit lowercase strings. `main.py:_on_signal_rejected_for_counterfactual` then calls `RejectionStage(event.rejection_stage)` which would **raise** if anyone followed the docstring and emitted uppercase. Docstring also omits `""margin_circuit""` (proposed per M3).",Trap for a future contributor who reads the docstring and emits uppercase — silently collapses all those rejections via the event-bus exception path.,Rewrite the docstring to match enum values (lowercase) and reference `RejectionStage` by name.,safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-D1-M08,P1-D1,MEDIUM,[docs/architecture.md:1409-1428](docs/architecture.md#L1409-L1428),"**Architecture.md §3.11 describes an `intelligence/catalyst/` subdirectory that does not exist.** Paths cited — `intelligence/catalyst/pipeline.py`, `intelligence/catalyst/classifier.py`, `intelligence/catalyst/storage.py`, `intelligence/catalyst/briefing.py`, `intelligence/catalyst/sources/sec_edgar.py`, etc. — are stale. Actual layout is flat (`intelligence/classifier.py`, `intelligence/storage.py`, `intelligence/briefing.py`, `intelligence/sources/sec_edgar.py`) and `CatalystPipeline` is defined in `intelligence/__init__.py`, not `pipeline.py`.",New-contributor or agent reading `architecture.md` cannot navigate the code. Same doc-drift class as P1-A1 M1.,Rewrite §3.11 path references. Recommend inlining the actual layout from `argus/intelligence/` rather than hand-maintaining twice.,safe-during-trading,fix-now,FIX-07-intelligence-catalyst-quality,,
P1-D1-M09,P1-D1,MEDIUM,[intelligence/__init__.py:146-158](argus/intelligence/__init__.py#L146-L158) + [intelligence/startup.py:303-308](argus/intelligence/startup.py#L303-L308),**Double-wrapped `asyncio.wait_for(120)` safety net.** `CatalystPipeline.run_poll()` already wraps the `gather(*fetch_tasks)` call with a 120s timeout (DEC-319). `run_polling_loop()` then wraps the same `pipeline.run_poll(...)` call with a **second** 120s timeout. If sources are slow-but-not-stuck the outer timeout can fire while the inner wait is still running; the outer `asyncio.TimeoutError` handler at `startup.py:326` logs `.critical()` but cannot distinguish whether the inner timeout or the outer fired.,Confusing diagnostics on slow polls. Not functionally incorrect.,Pick one layer to own the timeout. `CatalystPipeline.run_poll()` is the natural owner because it has source visibility. Remove the outer `wait_for(120)` in `run_polling_loop()` and keep the inner.,safe-during-trading,fix-now,FIX-07-intelligence-catalyst-quality,,
P1-D1-M10,P1-D1,MEDIUM,[intelligence/quality_engine.py:127-136](argus/intelligence/quality_engine.py#L127-L136),"**`_score_catalyst_quality()` cutoff is always UTC-now minus 24h**, regardless of the catalysts' `published_at` TZ. If `published_at` is ET-naive, the path at line 131 reattaches `tzinfo=UTC` — which is wrong (the data is ET per `storage.py:228`). A catalyst published at 09:30 ET will appear at the comparator as 09:30 UTC = 05:30 ET — offsetting the cutoff window by 4 hours depending on DST.","Edge-case distortion of the ""last 24 hours"" filter. Probably not material because most catalysts in the DB *do* carry an explicit tzinfo (set in source parsers), but any legacy row with naive timestamps will be misfiltered.","Change `.replace(tzinfo=UTC)` to `.replace(tzinfo=_ET)` (importing the existing `_ET = ZoneInfo(""America/New_York"")`), to match the ET convention used everywhere else in the intelligence layer.",weekend-only,fix-now,FIX-07-intelligence-catalyst-quality,,
P1-D1-M11,P1-D1,MEDIUM,[intelligence/counterfactual.py:232-237](argus/intelligence/counterfactual.py#L232-L237),"**Zero-R guard uses float equality.** `if signal.entry_price == signal.stop_price: return None` — exact `==` comparison on floats. In practice Databento prices are fixed-point scaled by 1e9 so the division should land cleanly, but any strategy that arithmetically *derives* a stop from entry (e.g. `stop = entry - 0.10`) can produce a representation where entry != stop but `risk_per_share ≈ 1e-15`. The downstream `_close_position()` at line 617 then divides by near-zero risk_per_share and produces an R-multiple of 1e15.",Could poison an R-multiple average or filter-accuracy breakdown with an implausibly large outlier. Not observed in test data but classical float-equality hazard.,Replace with `if abs(signal.entry_price - signal.stop_price) < 0.0001: return None`. Tune epsilon to sub-penny tolerance.,weekend-only,fix-now,FIX-07-intelligence-catalyst-quality,,
P1-D1-M12,P1-D1,MEDIUM,[intelligence/__init__.py:259-317](argus/intelligence/__init__.py#L259-L317),"**Semantic dedup anchors to `kept[-1]` not sliding cluster midpoint.** Within each `(symbol, category)` group, the walk compares each new catalyst to the *last kept* item, keeping whichever has higher `quality_score`. If items arrive as A(score=70, t=0) → B(score=50, t=20) → C(score=60, t=40) with window=30, A wins over B, then C is compared to A (diff=40 > 30) and C is also kept — even though C is only 20min after B's *original* timestamp and would have been in-window against B. DEC-311 is ambiguous about the intended semantics.",Undercounts dedup when quality scores decrease within a window. Over-counts when scores increase. Marginal effect in practice — catalysts within 30-min windows have similar scores — but behaviour is not well-defined against the DEC.,"Decide on intended semantics and add a test: either (a) cluster-midpoint anchor, or (b) sliding-window anchor to first-seen in cluster, or (c) current `kept[-1]` anchor (explicitly documented). Update DEC-311 body to match.",weekend-only,fix-now,FIX-07-intelligence-catalyst-quality,,
P1-D1-M13,P1-D1,MEDIUM,[main.py:1107-1117](argus/main.py#L1107-L1117) + [api/server.py:156](argus/api/server.py#L156),"**Two `CatalystStorage` instances active concurrently in live mode.** Even once C1 is fixed to point both at `data/catalyst.db`, there are still two `aiosqlite.Connection` objects writing/reading the same file (WAL-protected but wasteful). One built by `main.py` for the quality pipeline, one built by `intelligence/startup.py` for the catalyst pipeline + API routes.",Unnecessary resource duplication; the second connection's WAL checkpoints can delay the first's reads. Mild.,"Have main.py's quality pipeline reuse `intelligence_components.storage` passed through the API-server lifespan. Cleanest implementation: move quality-pipeline init into `api/server.py` lifespan alongside the catalyst pipeline, with the shared storage injected.",weekend-only,fix-now,FIX-03-main-py,,
P1-D1-L01,P1-D1,LOW,[intelligence/quality_engine.py:154-155](argus/intelligence/quality_engine.py#L154-L155),"`_score_historical_match()` is a stub returning hardcoded `50.0`. Known (documented in `config/quality_engine.yaml` comment). With `system_live.yaml`'s `historical_match: 0.15`, this stub still contributes a **flat 7.5** to every signal's composite score — effectively a bias, not a no-op. Once C2 is fixed to set `historical_match: 0.0` live, the stub is dormant and can be `return 0.0` to make the dormancy unambiguous.",Slight score inflation today. Zero impact once C2 is fixed.,"After C2, change `return 50.0` to `return 0.0` (or raise `NotImplementedError` with a guard on the weight) so nobody accidentally re-enables the weight without implementing the method.",weekend-only,fix-now,FIX-01-catalyst-db-quality-pipeline,,bundle with same-file MEDIUM/CRITICAL fixes
P1-D1-L02,P1-D1,LOW,[intelligence/position_sizer.py:188-189](argus/intelligence/position_sizer.py#L188-L189),`_risk_tier_from_grade()` is a direct alias: `return grade`. `SetupQuality.risk_tier` is therefore always equal to `SetupQuality.grade`. Every downstream consumer that reads `risk_tier` is just reading `grade` under a different name. Either rename or add a clear comment.,Confusing API surface. Suggests a separate concept exists (risk tier vs grade) when it does not.,"Either delete `risk_tier` from `SetupQuality` and have consumers read `grade`, or document that they are canonically equal in V1.",safe-during-trading,fix-now,FIX-07-intelligence-catalyst-quality,,
P1-D1-L03,P1-D1,LOW,[intelligence/filter_accuracy.py:106](argus/intelligence/filter_accuracy.py#L106),"""Correct rejection"" is defined as `theoretical_pnl <= 0`. Breakeven counts as ""correct"". Most interpretations of ""filter accuracy"" would consider breakeven inconclusive, not correct.",Marginal effect. Shifts reported accuracy slightly upward.,Either `< 0` (strict) or document the choice in the dataclass docstring and in the `/counterfactual/accuracy` REST contract.,safe-during-trading,fix-now,FIX-07-intelligence-catalyst-quality,,
P1-D1-L04,P1-D1,LOW,[intelligence/filter_accuracy.py:159](argus/intelligence/filter_accuracy.py#L159),"`min_sample_count: int = 10` default is hardcoded. Learning Loop V1 uses its own minimum sample configuration in `config/learning_loop.yaml`. The two should probably share a definition or at least reference each other — both inform ""is this breakdown trustworthy?""",Minor divergence risk if the Learning Loop's threshold is tuned upward but filter-accuracy's stays at 10.,Pull both values from `config/learning_loop.yaml` (e.g. `learning_loop.min_sample_count`) or add a `config/filter_accuracy.yaml`.,safe-during-trading,fix-now,FIX-07-intelligence-catalyst-quality,,
